slug	title	category	prompt
5-simple-ways-to-boost-your-energy-naturally-this-week	5 Simple Ways to Boost Your Energy Naturally This Week	HEALTHY LIVING	Photorealistic editorial photograph for a health article titled "5 Simple Ways to Boost Your Energy Naturally This Week". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
collagen-what-it-actually-does-and-do-supplements-work	Collagen: What It Actually Does and Do Supplements Work?	NUTRITION	Photorealistic editorial photograph for a health article titled "Collagen: What It Actually Does and Do Supplements Work?". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
DV-EB-000001-bone-strength-blueprint	Bone Strength Blueprint	BONES & MOVEMENT	Photorealistic editorial photograph for a health article titled "Bone Strength Blueprint". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
eczema-and-psoriasis-whats-actually-happening-in-your-skin	Eczema and Psoriasis: What’s Actually Happening in Your Skin	EYES, EARS & SKIN	Photorealistic editorial photograph for a health article titled "Eczema and Psoriasis: What’s Actually Happening in Your Skin". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
anxiety-explained	Understanding Anxiety: What’s Actually Happening in Your Body	BRAIN & MIND	Photorealistic editorial photograph for a health article titled "Understanding Anxiety: What’s Actually Happening in Your Body". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
apples-health-guide	Apples Health Guide	NUTRITION	Photorealistic editorial photograph for a health article titled "Apples Health Guide". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
arthritis-joint-pain	Arthritis: Why Joints Become Painful Over Time	BONES & MOVEMENT	Photorealistic editorial photograph for a health article titled "Arthritis: Why Joints Become Painful Over Time". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
asthma-respiratory-health	Asthma and Respiratory Health: What Actually Happens	LUNGS & IMMUNITY	Photorealistic editorial photograph for a health article titled "Asthma and Respiratory Health: What Actually Happens". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
back-pain	Why Your Back Hurts — And What Actually Helps	BONES & MOVEMENT	Photorealistic editorial photograph for a health article titled "Why Your Back Hurts — And What Actually Helps". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
blood-circulation	How Blood Circulation Works: A Simple Guide	HEART & CIRCULATION	Photorealistic editorial photograph for a health article titled "How Blood Circulation Works: A Simple Guide". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
blood-pressure-warning-signs	High Blood Pressure Warning Signs: The Silent Signals Most People Miss	HEART & CIRCULATION	Photorealistic editorial photograph for a health article titled "High Blood Pressure Warning Signs: The Silent Signals Most People Miss". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
blood-pressure	High Blood Pressure: What You Actually Need to Know	HEART & CIRCULATION	Photorealistic editorial photograph for a health article titled "High Blood Pressure: What You Actually Need to Know". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
blood-sugar	Blood Sugar and Diabetes: A Simple Guide	METABOLIC HEALTH	Photorealistic editorial photograph for a health article titled "Blood Sugar and Diabetes: A Simple Guide". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
bone-anatomy-explained	Bone Anatomy Explained	BONES & MOVEMENT	Photorealistic editorial photograph for a health article titled "Bone Anatomy Explained". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
bone-density-calcium-guide	Bone Density Calcium Guide	BONES & MOVEMENT	Photorealistic editorial photograph for a health article titled "Bone Density Calcium Guide". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
brain-health	How Your Brain Works: A Simple Guide	BRAIN & MIND	Photorealistic editorial photograph for a health article titled "How Your Brain Works: A Simple Guide". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
breathing	A 2-Minute Breathing Exercise for Anxious Moments	BRAIN & MIND	Photorealistic editorial photograph for a health article titled "A 2-Minute Breathing Exercise for Anxious Moments". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
budget-high-protein-foods-that-actually-fit-a-grocery-budget	Budget High-Protein Foods That Actually Fit a Grocery Budget	NUTRITION	Photorealistic editorial photograph for a health article titled "Budget High-Protein Foods That Actually Fit a Grocery Budget". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
child-nutrition-growth	Child Nutrition Growth	NUTRITION	Photorealistic editorial photograph for a health article titled "Child Nutrition Growth". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
cholesterol	Cholesterol Explained: Good, Bad, and What to Do About It	HEART & CIRCULATION	Photorealistic editorial photograph for a health article titled "Cholesterol Explained: Good, Bad, and What to Do About It". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
cold-and-flu	Colds vs. Flu: What’s the Actual Difference	LUNGS & IMMUNITY	Photorealistic editorial photograph for a health article titled "Colds vs. Flu: What’s the Actual Difference". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
cold-plunges-ice-baths-what-science-says	Cold Plunges and Ice Baths: What the Science Actually Says	LUNGS & IMMUNITY	Photorealistic editorial photograph for a health article titled "Cold Plunges and Ice Baths: What the Science Actually Says". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
creatine-not-just-for-athletes	Creatine: Not Just for Athletes Anymore	NUTRITION	Photorealistic editorial photograph for a health article titled "Creatine: Not Just for Athletes Anymore". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
cyclosporiasis-outbreak-guide	Cyclosporiasis Outbreak Guide	GUT & DIGESTION	Photorealistic editorial photograph for a health article titled "Cyclosporiasis Outbreak Guide". Natural light, real people or real food/objects, warm emotional tone, sharp focus, shallow depth of field, 16:9, no text, no logos, no watermark.
