image_path (upload exactly here in your repo),size,article,suggested prompt / description
images/anxiety-explained/carousel-1-1.jpg,700x480,Understanding Anxiety,"nervous system fight or flight response, calm illustration, medical style (photo 1 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-1-2.jpg,700x480,Understanding Anxiety,"nervous system fight or flight response, calm illustration, medical style (photo 2 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-1-3.jpg,700x480,Understanding Anxiety,"nervous system fight or flight response, calm illustration, medical style (photo 3 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-1-4.jpg,700x480,Understanding Anxiety,"nervous system fight or flight response, calm illustration, medical style (photo 4 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-2-1.jpg,700x480,Understanding Anxiety,"everyday healthy lifestyle scene related to Understanding Anxiety, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-2-2.jpg,700x480,Understanding Anxiety,"everyday healthy lifestyle scene related to Understanding Anxiety, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-2-3.jpg,700x480,Understanding Anxiety,"everyday healthy lifestyle scene related to Understanding Anxiety, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-2-4.jpg,700x480,Understanding Anxiety,"everyday healthy lifestyle scene related to Understanding Anxiety, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-3-1.jpg,700x480,Understanding Anxiety,"everyday healthy lifestyle scene related to Understanding Anxiety, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-3-2.jpg,700x480,Understanding Anxiety,"everyday healthy lifestyle scene related to Understanding Anxiety, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-3-3.jpg,700x480,Understanding Anxiety,"everyday healthy lifestyle scene related to Understanding Anxiety, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/carousel-3-4.jpg,700x480,Understanding Anxiety,"everyday healthy lifestyle scene related to Understanding Anxiety, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/anxiety-explained/cover.jpg,1000x560,Understanding Anxiety,"calm person breathing exercise, anxiety relief, soft wellness illustration style"
images/apples-health-guide/carousel-1-1.jpg,700x480,Apples: A Complete Health Guide,"fresh apple slices with skin, healthy fruit, professional food photography (photo 1 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-1-2.jpg,700x480,Apples: A Complete Health Guide,"fresh apple slices with skin, healthy fruit, professional food photography (photo 2 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-1-3.jpg,700x480,Apples: A Complete Health Guide,"fresh apple slices with skin, healthy fruit, professional food photography (photo 3 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-1-4.jpg,700x480,Apples: A Complete Health Guide,"fresh apple slices with skin, healthy fruit, professional food photography (photo 4 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-2-1.jpg,700x480,Apples: A Complete Health Guide,"everyday healthy lifestyle scene related to Apples: A Complete Health Guide, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-2-2.jpg,700x480,Apples: A Complete Health Guide,"everyday healthy lifestyle scene related to Apples: A Complete Health Guide, warm natural lighting (photo 2 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-2-3.jpg,700x480,Apples: A Complete Health Guide,"everyday healthy lifestyle scene related to Apples: A Complete Health Guide, warm natural lighting (photo 3 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-2-4.jpg,700x480,Apples: A Complete Health Guide,"everyday healthy lifestyle scene related to Apples: A Complete Health Guide, warm natural lighting (photo 4 of 4, a different angle/moment than the others in this set)"
images/apples-health-guide/carousel-3-1.jpg,700x480,Apples: A Complete Health Guide,"everyday healthy lifestyle scene related to Apples: A Complete Health Guide, warm natural lighting (photo 1 of 4, a different angle/moment than the others in this set)"
